"name","team","position","height_inches","wingspan_inches","wingspan_advantage","g","mp","pts","orb","drb","trb","ast","stl","blk","o_rtg","d_rtg","e_fg_percent","ft_percent","fg_percent","avg_dist_of_fg","X2pt_rate","X3pt_rate","X2pt_percent","X3pt_percent","dunk_rate","residuals","fitted"
"Anthony Davis","DAL","C",81.25,89.5,8.25,51,1706,36.3,3.9,13.1,17,5.2,1.7,3.2,118,108,0.536,0.775,0.516,10.8,0.864,0.136,0.553,0.282,0.099,3.1748967213724,13.8251032786276
"Anthony Edwards","MIN","SG",75,81,6,79,2871,37.4,1,6.7,7.7,6.2,1.6,0.9,115,112,0.547,0.837,0.447,16.9,0.497,0.503,0.501,0.395,0.039,-0.185788143575027,7.88578814357503
"Anthony Gill","WAS","PF",79.5,83,3.5,51,397,15.5,2.2,5.8,7.9,1.9,1.1,0.2,119,122,0.545,0.66,0.489,11.8,0.648,0.352,0.579,0.323,0.011,-1.38327405770504,9.28327405770504
"Ausar Thompson","DET","SF",77.75,84,6.25,59,1328,21.5,4,7,11,4.9,3.5,1.4,115,108,0.547,0.641,0.535,6,0.893,0.107,0.572,0.224,0.272,1.01798298522995,9.98201701477005
"Austin Reaves","LAL","SG",76.5,78.25,1.75,73,2550,28.5,1.2,5.2,6.3,8.1,1.6,0.4,122,117,0.556,0.877,0.46,17.1,0.488,0.512,0.547,0.377,0.007,0.335754988353747,5.96424501164625
"Ayo Dosunmu","CHI","SG",75.5,82.25,6.75,46,1394,19,0.9,4.5,5.4,7,1.4,0.6,117,118,0.561,0.785,0.492,12.4,0.579,0.421,0.612,0.328,0.027,-3.35921683990629,8.75921683990629
"Bam Adebayo","MIA","C",80.75,86.75,6,78,2674,26.3,3.5,10.5,14,6.3,1.8,1,115,110,0.521,0.765,0.485,11.4,0.801,0.199,0.517,0.357,0.123,2.09643985330117,11.9035601466988
"Baylor Scheierman","BOS","SG",78.25,80.25,2,31,384,14.8,2.5,6,8.5,4.3,2.2,0.3,111,111,0.473,0.75,0.355,21.3,0.255,0.745,0.464,0.317,0,1.13826907422373,7.36173092577627
"Ben Sheppard","IND","SG",77.25,79.75,2.5,63,1228,13,1.7,5.2,6.9,3.3,1.5,0.5,119,116,0.537,0.889,0.418,18.3,0.307,0.693,0.591,0.342,0.007,-0.112359447243766,7.01235944724377
"Bennedict Mathurin","IND","SF",76.5,81,4.5,72,2149,25.9,1.9,6.6,8.6,3,1.1,0.5,110,116,0.516,0.831,0.458,13.2,0.662,0.338,0.519,0.34,0.049,0.714211856424973,7.88578814357503
"Bilal Coulibaly","WAS","SF",78,86.5,9,59,1948,17.8,2.2,5,7.2,4.9,1.9,1,103,120,0.472,0.746,0.421,13.3,0.641,0.359,0.5,0.281,0.128,-4.52887440743257,11.7288744074326
"Blake Wesley","SAS","PG",75,81.25,6.25,58,683,15.4,1.2,3.1,4.3,8.1,2.6,0.4,102,118,0.481,0.623,0.435,10.8,0.688,0.312,0.5,0.293,0.081,-3.76047388284128,8.06047388284128
"Bobby Portis","MIL","PF",81.5,86,4.5,49,1244,26.4,3.5,12.5,16,4,1.4,1,111,110,0.52,0.836,0.466,14.1,0.701,0.299,0.508,0.365,0.015,4.62049707109993,11.3795029289001
"Bobi Klintman","DET","SF",80.75,83,2.25,8,42,17.2,1.1,6.9,8,8,2.3,1.1,145,111,0.7,0.5,0.6,17.4,0.5,0.5,0.8,0.4,0.1,-1.28327405770504,9.28327405770504
"Bogdan BogdanoviÄ‡","LAC","SG",77.5,83,5.5,54,1348,20.8,0.9,4.8,5.7,5.2,1.5,0.4,110,116,0.534,0.879,0.427,18.7,0.413,0.587,0.517,0.363,0.002,-3.58327405770504,9.28327405770504
"Bol Bol","PHX","C",84.75,91,6.25,36,448,26.9,2.2,9.3,11.5,2.4,1,2.8,117,117,0.612,0.769,0.525,17.3,0.492,0.508,0.711,0.344,0.055,-3.37321771422511,14.8732177142251
"Bones Hyland","MIN","PG",74,81.5,7.5,24,239,30.7,1,4.1,5.2,6.6,3.7,0.8,107,108,0.534,0.885,0.398,22.4,0.305,0.695,0.417,0.39,0.017,-3.03515962210753,8.23515962210753
"Bradley Beal","PHX","SG",75.25,80,4.75,53,1702,26.2,1,4.2,5.1,5.7,1.7,0.8,114,121,0.571,0.803,0.497,15.2,0.62,0.38,0.565,0.386,0.024,-2.08704518651002,7.18704518651002
"Brandin Podziemski","GSW","SG",75.75,77.5,1.75,64,1716,21.2,1.8,7.4,9.2,6.2,2,0.4,116,112,0.537,0.758,0.445,17.2,0.509,0.491,0.516,0.372,0.002,3.7598122061525,5.4401877938475
